State,County Name,FIPS,Number of Dem Votes,Number of GOP Votes,Percent With No High School,Percent With Only High School,Percent With Some College, Percent With Bachelor's or more,Percent of County Population Below Poverty
AL,Autauga,1001,5908.0,18110.0,12.4,34.3,28.7,24.6,12.168619969110566
AL,Baldwin,1003,18409.0,72780.0,10.0,28.7,31.8,29.5,6.138249300407482
AL,Barbour,1005,4848.0,5431.0,26.2,34.9,26.0,12.9,13.920822230681384
AL,Bibb,1007,1874.0,6733.0,19.3,41.8,26.9,12.0,15.025929701697619
AL,Blount,1009,2150.0,22808.0,20.0,32.9,34.0,13.1,16.36902697829253
AL,Bullock,1011,3530.0,1139.0,33.4,34.1,22.2,10.3,26.092778574844573
AL,Butler,1013,3716.0,4891.0,18.9,39.9,25.1,16.1,3.463181953691742
AL,Calhoun,1015,13197.0,32803.0,17.7,32.1,32.6,17.7,0.5161122435702823
AL,Chambers,1017,5763.0,7803.0,19.7,39.4,28.4,12.5,12.957142437505508
AL,Cherokee,1019,1524.0,8809.0,18.7,36.0,31.4,14.0,5.134882997745471
AL,Chilton,1021,2909.0,15068.0,19.9,41.3,24.0,14.9,20.039261338994272
AL,Choctaw,1023,3109.0,4102.0,21.1,37.3,29.6,12.0,15.097341110521931
AL,Clarke,1025,5712.0,7109.0,19.0,45.1,23.8,12.1,5.88044972903017
AL,Clay,1027,1234.0,5230.0,25.4,34.6,29.0,11.1,4.557243423490181
AL,Cleburne,1029,684.0,5738.0,25.8,38.0,24.7,11.5,19.265137369965323
AL,Coffee,1031,4194.0,15825.0,14.9,29.3,32.1,23.7,16.095803223469048
AL,Colbert,1033,7296.0,16718.0,16.6,34.8,30.1,18.5,16.410350861036928
AL,Conecuh,1035,3069.0,3413.0,20.6,46.2,24.6,8.7,32.603000714455824
AL,Coosa,1037,1780.0,3376.0,27.1,36.3,26.7,9.9,15.065032282212032
AL,Covington,1039,2379.0,13222.0,19.1,34.4,31.6,14.9,13.124983404582991
AL,Crenshaw,1041,1663.0,4511.0,21.7,38.5,25.1,14.6,17.901412510810033
AL,Cullman,1043,3730.0,32734.0,17.8,35.1,32.1,15.0,16.758288743922403
AL,Dale,1045,4408.0,13798.0,14.2,33.1,36.7,16.1,20.046586996151508
AL,Dallas,1047,12826.0,5784.0,21.0,36.5,28.8,13.8,2.577458244687355
AL,DeKalb,1049,3682.0,21779.0,27.4,34.3,27.0,11.4,1.825454955208744
AL,Elmore,1051,8436.0,27619.0,13.2,35.4,29.1,22.2,5.646372387306433
AL,Escambia,1053,4698.0,10282.0,19.5,43.4,25.4,11.6,23.512306024797102
AL,Etowah,1055,10350.0,32132.0,17.5,32.5,33.4,16.5,18.190390092638495
AL,Fayette,1057,1358.0,6705.0,20.8,39.0,26.0,14.1,15.433833642289063
AL,Franklin,1059,2197.0,9466.0,24.3,36.7,26.6,12.4,1.2427873945849977
AL,Geneva,1061,1522.0,9967.0,22.3,36.0,30.1,11.7,22.466828630162585
AL,Greene,1063,4006.0,838.0,23.1,41.0,26.0,10.0,11.242603550295858
AL,Hale,1065,4772.0,3172.0,18.6,42.8,24.6,14.0,25.592039800995025
AL,Henry,1067,2286.0,5623.0,19.3,36.1,28.4,16.1,14.589029143156305
AL,Houston,1069,10547.0,30567.0,15.1,32.1,31.8,21.0,1.604221635883905
AL,Jackson,1071,3663.0,16643.0,20.5,41.1,25.8,12.6,0.34226930284140883
AL,Jefferson,1073,151581.0,130614.0,11.0,26.5,31.1,31.4,0.1281804586921048
AL,Lamar,1075,1035.0,5819.0,22.6,35.4,29.0,13.1,23.895842324845347
AL,Lauderdale,1077,9877.0,27735.0,15.1,34.6,28.6,21.7,6.5032386431220734
AL,Lawrence,1079,3611.0,10732.0,22.5,39.9,27.4,10.3,5.821990160866809
AL,Lee,1081,20987.0,34321.0,11.3,24.5,29.8,34.4,1.5054188700428024
AL,Limestone,1083,9340.0,28824.0,16.8,32.0,27.9,23.3,5.4310100194276485
AL,Lowndes,1085,4882.0,1751.0,25.2,37.7,24.9,12.3,28.83323738246018
AL,Macon,1087,7237.0,1394.0,19.5,31.2,29.2,20.0,14.806141035649231
AL,Madison,1089,62435.0,89199.0,9.2,20.9,29.2,40.7,0.24738042807569727
